,participantId,condition,phase,trial,estimate,questionId,label,area,distance,age,socialInfo,rentTruth,manipulationCheck,residentialExperience,gender,participantAge
83,6h3k3qqw18ykdvq,expert,1,24,12.5,2,ライフヴィラ白山,21.3,5,19,15.9,14.5,2,3,male,20
84,6h3k3qqw18ykdvq,expert,2,1,6.0,11,レジデンス三葉,10.9,5,35,8.7,6.8,2,3,male,20
85,6h3k3qqw18ykdvq,expert,2,2,9.0,18,アーバンネット三丁目,12.8,3,20,11.8,10.3,2,3,male,20
86,6h3k3qqw18ykdvq,expert,2,3,8.0,12,ジャスミンガーデンズ東大前,15.9,9,7,14.8,12.4,2,3,male,20
87,6h3k3qqw18ykdvq,expert,2,4,10.0,8,レインボーハウスRaffine,19.0,7,36,12.4,11.8,2,3,male,20
88,6h3k3qqw18ykdvq,expert,2,5,7.5,0,ファイブスター後楽園,7.3,5,18,9.3,5.9,2,3,male,20
89,6h3k3qqw18ykdvq,expert,2,6,12.0,19,グリーンリッジ本郷,12.5,2,23,11.3,10.1,2,3,male,20
90,6h3k3qqw18ykdvq,expert,2,7,10.0,10,はまなすレイクビュー,13.0,4,48,8.0,11.1,2,3,male,20
91,6h3k3qqw18ykdvq,expert,2,8,9.0,20,ソレイユ豊川,14.7,8,19,12.6,10.1,2,3,male,20
92,6h3k3qqw18ykdvq,expert,2,9,12.5,7,カーサ・ヴィラJulio,13.3,7,11,13.1,9.1,2,3,male,20
93,6h3k3qqw18ykdvq,expert,2,10,10.0,4,ふたばハイツ,13.0,5,33,10.0,7.5,2,3,male,20
94,6h3k3qqw18ykdvq,expert,2,11,13.5,15,さくらヒルズレジデンス,15.1,5,19,12.9,12.0,2,3,male,20
95,6h3k3qqw18ykdvq,expert,2,12,12.0,13,つばき荘,13.4,5,13,13.0,9.6,2,3,male,20
96,6h3k3qqw18ykdvq,expert,3,1,13.0,20,ソレイユ豊川,14.7,8,19,12.6,10.1,2,3,male,20
97,6h3k3qqw18ykdvq,expert,3,2,10.0,10,はまなすレイクビュー,13.0,4,48,8.0,11.1,2,3,male,20
98,6h3k3qqw18ykdvq,expert,3,3,10.0,7,カーサ・ヴィラJulio,13.3,7,11,13.1,9.1,2,3,male,20
99,6h3k3qqw18ykdvq,expert,3,4,9.5,22,サンセットプレイス犬飼,12.6,4,22,11.4,9.4,2,3,male,20
100,6h3k3qqw18ykdvq,expert,3,5,13.0,12,ジャスミンガーデンズ東大前,15.9,9,7,14.8,12.4,2,3,male,20
101,6h3k3qqw18ykdvq,expert,3,6,7.0,5,ライフホームVIBRANT,10.5,6,37,8.2,7.0,2,3,male,20
102,6h3k3qqw18ykdvq,expert,3,7,8.0,23,ウッドランド中西,12.3,6,52,7.0,6.9,2,3,male,20
103,6h3k3qqw18ykdvq,expert,3,8,12.8,21,ハートフル文京,15.8,7,8,14.7,14.5,2,3,male,20
104,6h3k3qqw18ykdvq,expert,3,9,13.0,8,レインボーハウスRaffine,19.0,7,36,12.4,11.8,2,3,male,20
105,6h3k3qqw18ykdvq,expert,3,10,12.0,17,あじさいテラス,12.5,8,41,8.5,8.3,2,3,male,20
106,6h3k3qqw18ykdvq,expert,3,11,16.0,14,グランポルテWILL,18.5,2,4,16.8,13.8,2,3,male,20
107,6h3k3qqw18ykdvq,expert,3,12,6.4,1,リバーサイド黒田,8.7,2,44,6.6,6.0,2,3,male,20
108,6h3k3qqw18ykdvq,expert,3,13,13.0,19,グリーンリッジ本郷,12.5,2,23,11.3,10.1,2,3,male,20
109,6h3k3qqw18ykdvq,expert,3,14,8.0,0,ファイブスター後楽園,7.3,5,18,9.3,5.9,2,3,male,20
110,6h3k3qqw18ykdvq,expert,3,15,12.0,4,ふたばハイツ,13.0,5,33,10.0,7.5,2,3,male,20
111,6h3k3qqw18ykdvq,expert,3,16,18.0,6,コーポ内藤,23.3,1,60,11.5,11.7,2,3,male,20
112,6h3k3qqw18ykdvq,expert,3,17,12.5,13,つばき荘,13.4,5,13,13.0,9.6,2,3,male,20
113,6h3k3qqw18ykdvq,expert,3,18,8.0,11,レジデンス三葉,10.9,5,35,8.7,6.8,2,3,male,20
114,6h3k3qqw18ykdvq,expert,3,19,14.0,15,さくらヒルズレジデンス,15.1,5,19,12.9,12.0,2,3,male,20
115,6h3k3qqw18ykdvq,expert,3,20,12.5,18,アーバンネット三丁目,12.8,3,20,11.8,10.3,2,3,male,20
116,6h3k3qqw18ykdvq,expert,3,21,15.0,16,ハイランド竹澤,16.1,2,22,13.2,11.1,2,3,male,20
