,participantId,condition,phase,trial,estimate,questionId,label,area,distance,age,socialInfo,rentTruth,manipulationCheck,residentialExperience,gender,participantAge
143,cq56rxkkq87fl64,expert,1,24,6.0,0,ハートフル文京,7.3,5,18,7.5,5.9,3,2,female,23
144,cq56rxkkq87fl64,expert,2,1,6.5,4,コーポ内藤,13.0,5,33,8.5,7.5,3,2,female,23
145,cq56rxkkq87fl64,expert,2,2,12.0,13,カーサ・ヴィラJulio,13.4,5,13,10.6,9.6,3,2,female,23
146,cq56rxkkq87fl64,expert,2,3,6.5,17,グリーンリッジ本郷,12.5,8,41,7.5,8.3,3,2,female,23
147,cq56rxkkq87fl64,expert,2,4,6.0,23,アーバンネット三丁目,12.3,6,52,6.7,6.9,3,2,female,23
148,cq56rxkkq87fl64,expert,2,5,7.0,1,ウッドランド中西,8.7,2,44,6.2,6.0,3,2,female,23
149,cq56rxkkq87fl64,expert,2,6,8.0,22,はまなすレイクビュー,12.6,4,22,9.4,9.4,3,2,female,23
150,cq56rxkkq87fl64,expert,2,7,9.0,9,あじさいテラス,15.8,4,24,10.7,8.7,3,2,female,23
151,cq56rxkkq87fl64,expert,2,8,10.0,2,ライフホームVIBRANT,21.3,5,19,13.9,14.5,3,2,female,23
152,cq56rxkkq87fl64,expert,2,9,13.0,15,ふたばハイツ,15.1,5,19,10.8,12.0,3,2,female,23
153,cq56rxkkq87fl64,expert,2,10,11.0,16,レジデンス三葉,16.1,2,22,11.2,11.1,3,2,female,23
154,cq56rxkkq87fl64,expert,2,11,10.0,20,サンセットプレイス犬飼,14.7,8,19,10.5,10.1,3,2,female,23
155,cq56rxkkq87fl64,expert,2,12,13.0,12,センチュリーMINERVA,15.9,9,7,12.2,12.4,3,2,female,23
156,cq56rxkkq87fl64,expert,3,1,13.0,2,ライフホームVIBRANT,21.3,5,19,13.9,14.5,3,2,female,23
157,cq56rxkkq87fl64,expert,3,2,9.0,9,あじさいテラス,15.8,4,24,10.7,8.7,3,2,female,23
158,cq56rxkkq87fl64,expert,3,3,13.0,21,ジャスミンガーデンズ東大前,15.8,7,8,12.2,14.5,3,2,female,23
159,cq56rxkkq87fl64,expert,3,4,7.0,23,アーバンネット三丁目,12.3,6,52,6.7,6.9,3,2,female,23
160,cq56rxkkq87fl64,expert,3,5,12.9,19,ライフヴィラ白山,12.5,2,23,9.4,10.1,3,2,female,23
161,cq56rxkkq87fl64,expert,3,6,9.0,3,ソレイユ豊川,18.4,4,46,9.8,8.5,3,2,female,23
162,cq56rxkkq87fl64,expert,3,7,7.0,11,ハイランド竹澤,10.9,5,35,7.5,6.8,3,2,female,23
163,cq56rxkkq87fl64,expert,3,8,8.1,20,サンセットプレイス犬飼,14.7,8,19,10.5,10.1,3,2,female,23
164,cq56rxkkq87fl64,expert,3,9,10.0,18,ファイブスター後楽園,12.8,3,20,9.8,10.3,3,2,female,23
165,cq56rxkkq87fl64,expert,3,10,7.0,10,プリンスハイムSOLEIL,13.0,4,48,7.3,11.1,3,2,female,23
166,cq56rxkkq87fl64,expert,3,11,9.0,7,つばき荘,13.3,7,11,10.7,9.1,3,2,female,23
167,cq56rxkkq87fl64,expert,3,12,9.5,12,センチュリーMINERVA,15.9,9,7,12.2,12.4,3,2,female,23
168,cq56rxkkq87fl64,expert,3,13,7.5,1,ウッドランド中西,8.7,2,44,6.2,6.0,3,2,female,23
169,cq56rxkkq87fl64,expert,3,14,15.0,14,レインボーハウスRaffine,18.5,2,4,14.3,13.8,3,2,female,23
170,cq56rxkkq87fl64,expert,3,15,9.0,22,はまなすレイクビュー,12.6,4,22,9.4,9.4,3,2,female,23
171,cq56rxkkq87fl64,expert,3,16,8.0,6,リバーサイド黒田,23.3,1,60,10.8,11.7,3,2,female,23
172,cq56rxkkq87fl64,expert,3,17,9.0,16,レジデンス三葉,16.1,2,22,11.2,11.1,3,2,female,23
173,cq56rxkkq87fl64,expert,3,18,7.6,8,さくらヒルズレジデンス,19.0,7,36,10.9,11.8,3,2,female,23
174,cq56rxkkq87fl64,expert,3,19,8.0,0,ハートフル文京,7.3,5,18,7.5,5.9,3,2,female,23
175,cq56rxkkq87fl64,expert,3,20,10.5,13,カーサ・ヴィラJulio,13.4,5,13,10.6,9.6,3,2,female,23
176,cq56rxkkq87fl64,expert,3,21,10.5,15,ふたばハイツ,15.1,5,19,10.8,12.0,3,2,female,23
177,cq56rxkkq87fl64,expert,3,22,7.0,5,グランポルテWILL,10.5,6,37,7.2,7.0,3,2,female,23
178,cq56rxkkq87fl64,expert,3,23,7.5,17,グリーンリッジ本郷,12.5,8,41,7.5,8.3,3,2,female,23
179,cq56rxkkq87fl64,expert,3,24,8.0,4,コーポ内藤,13.0,5,33,8.5,7.5,3,2,female,23
240,ldjyh0qtgsgkez6,expert,1,1,13.6,6,グリーンリッジ本郷,23.3,1,60,10.8,11.7,6,3,female,22
241,ldjyh0qtgsgkez6,expert,1,2,13.9,22,リバーサイド黒田,12.6,4,22,9.4,9.4,6,3,female,22
242,ldjyh0qtgsgkez6,expert,1,3,13.3,1,つばき荘,8.7,2,44,6.2,6.0,6,3,female,22
243,ldjyh0qtgsgkez6,expert,1,4,11.0,5,コーポ内藤,10.5,6,37,7.2,7.0,6,3,female,22
244,ldjyh0qtgsgkez6,expert,1,5,14.9,9,ジャスミンガーデンズ東大前,15.8,4,24,10.7,8.7,6,3,female,22
245,ldjyh0qtgsgkez6,expert,1,6,15.4,19,カーサ・ヴィラJulio,12.5,2,23,9.4,10.1,6,3,female,22
246,ldjyh0qtgsgkez6,expert,1,7,12.8,3,ハートフル文京,18.4,4,46,9.8,8.5,6,3,female,22
247,ldjyh0qtgsgkez6,expert,1,8,17.0,13,ふたばハイツ,13.4,5,13,10.6,9.6,6,3,female,22
248,ldjyh0qtgsgkez6,expert,1,9,10.6,0,ウッドランド中西,7.3,5,18,7.5,5.9,6,3,female,22
249,ldjyh0qtgsgkez6,expert,1,10,10.2,23,はまなすレイクビュー,12.3,6,52,6.7,6.9,6,3,female,22
250,ldjyh0qtgsgkez6,expert,1,11,12.9,17,ソレイユ豊川,12.5,8,41,7.5,8.3,6,3,female,22
251,ldjyh0qtgsgkez6,expert,1,12,15.8,16,ハイランド竹澤,16.1,2,22,11.2,11.1,6,3,female,22
252,ldjyh0qtgsgkez6,expert,1,13,13.3,12,さくらヒルズレジデンス,15.9,9,7,12.2,12.4,6,3,female,22
253,ldjyh0qtgsgkez6,expert,1,14,17.1,18,プリンスハイムSOLEIL,12.8,3,20,9.8,10.3,6,3,female,22
254,ldjyh0qtgsgkez6,expert,1,15,11.6,10,センチュリーMINERVA,13.0,4,48,7.3,11.1,6,3,female,22
255,ldjyh0qtgsgkez6,expert,1,16,13.8,7,ライフヴィラ白山,13.3,7,11,10.7,9.1,6,3,female,22
256,ldjyh0qtgsgkez6,expert,1,17,13.8,11,サンセットプレイス犬飼,10.9,5,35,7.5,6.8,6,3,female,22
257,ldjyh0qtgsgkez6,expert,1,18,17.2,15,ライフホームVIBRANT,15.1,5,19,10.8,12.0,6,3,female,22
258,ldjyh0qtgsgkez6,expert,1,19,14.9,21,あじさいテラス,15.8,7,8,12.2,14.5,6,3,female,22
259,ldjyh0qtgsgkez6,expert,1,20,13.5,4,レインボーハウスRaffine,13.0,5,33,8.5,7.5,6,3,female,22
260,ldjyh0qtgsgkez6,expert,1,21,13.8,20,ファイブスター後楽園,14.7,8,19,10.5,10.1,6,3,female,22
261,ldjyh0qtgsgkez6,expert,1,22,18.7,14,グランポルテWILL,18.5,2,4,14.3,13.8,6,3,female,22
262,ldjyh0qtgsgkez6,expert,1,23,14.4,2,レジデンス三葉,21.3,5,19,13.9,14.5,6,3,female,22
263,ldjyh0qtgsgkez6,expert,1,24,12.2,8,アーバンネット三丁目,19.0,7,36,10.9,11.8,6,3,female,22
264,ldjyh0qtgsgkez6,expert,2,1,11.2,17,ソレイユ豊川,12.5,8,41,7.5,8.3,6,3,female,22
265,ldjyh0qtgsgkez6,expert,2,2,11.3,20,ファイブスター後楽園,14.7,8,19,10.5,10.1,6,3,female,22
266,ldjyh0qtgsgkez6,expert,2,3,10.3,3,ハートフル文京,18.4,4,46,9.8,8.5,6,3,female,22
267,ldjyh0qtgsgkez6,expert,2,4,11.7,4,レインボーハウスRaffine,13.0,5,33,8.5,7.5,6,3,female,22
268,ldjyh0qtgsgkez6,expert,2,5,12.3,21,あじさいテラス,15.8,7,8,12.2,14.5,6,3,female,22
